sales_Sl. No,sales_Invoice Number,sales_Invoice Date,sales_Customer Name,GST Number,sales_Net Amount,sales_Tax Type CGST,sales_Tax Amount CGST,sales_Tax Type SGST,sales_Tax Amount SGST,sales_Tax Type IGST,sales_Tax Amount IGST,sales_Grand Amount,Purchase Invoice Number,Purchase Invoice Date,Purchase Customer Name,TIN Number,Purchase Net Amount,Purchase Tax Type CGST,Purchase Tax Amount CGST,Purchase Tax Type SGST,Purchase Tax Amount SGST,Purchase Tax Type IGST,Purchase Tax Amount IGST,Purchase Grand Amount
86,86,21-02-2024,M/S R.R.FOUNDERS,29AABFR5630G1Z8,220000,CGST@9%,19800,SGST@9%,19800,,,259600,71,24-09-2024,S V ENGINEERING,29ALNPP1396G1ZJ,"9,775.00",CGST@9%,879.75,SGST@9%,879.75,,,"11,535.00"
87,87,28-02-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,195455,CGST@9%,17590.95,SGST@9%,17590.95,,,230637,305,24-09-2024,Sri Vinayaka Industries,29AAOPN9277E1ZZ,"6,170.00",CGST@9%,555.3,SGST@9%,555.3,,,"7,281.00"
88,88,28-02-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,1374,25-09-2024,A.S. BEARING STORE,29160579499,"1,500.00",CGST@9%,135,SGST@9%,135,,,"1,770.00"
89,89,04-03-2024,M/s Viman Multiplug Pvt Ltd,29AAACV5713G1ZB,36500,CGST@9%,3285,SGST@9%,3285,,,43070,1889,26-09-2024,LASA ENGINEERS PVT LTD,29AAACL2878G1Z9,"38,490.00",CGST@9%,"3,464.10",SGST@9%,"3,464.10",,,"45,418.00"
90,90,04-03-2024,S.V.MATERIAL HANDLING SYSTEM PVT LTD,29AAKCS6443A1ZB,13500,CGST@9%,1215,SGST@9%,1215,,,15930,145205,26-09-2024,industrail stores suppliers,29AAPPB0204N1ZQ,"1,010.00",CGST@9%,90.9,SGST@9%,90.9,,,"1,192.00"
91,91,07-03-2024,M/S HITECH MATERIAL MOVEMENTS,29AOYPP4140C1ZM,25875,CGST@9%,2328.75,SGST@9%,2328.75,,,30533,39405,26-09-2024,Galaxy Paints Hardware,AAKFG6133C1Z1,550,CGST@9%,49.5,SGST@9%,49.5,,,649
92,92,10-03-2024,M/s RHS Cranes & Components,29AAVFR6748P2ZR,100,CGST@9%,9,SGST@9%,9,,,118,211,27-09-2024,SUMUKHA ENGINEERS,29030107908,"21,800.00",CGST@9%,"1,962.00",SGST@9%,"1,962.00",,,"25,724.00"
93,93,23-03-2024,M/s Mohinder Agencies,29AABFM4837A1ZI,175000,CGST@9%,15750,SGST@9%,15750,,,206500,521,01-10-2024,VIMAL INDUSTRIES,2929AKHPK8857E1ZO,"54,000.00",CGST@9%,"4,860.00",SGST@9%,"4,860.00",,,"63,720.00"
94,94,29-03-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,195455,CGST@9%,17590.95,SGST@9%,17590.95,,,230637,520,01-10-2024,VIMAL INDUSTRIES,2929AKHPK8857E1ZO,"15,750.00",CGST@9%,"1,417.50",SGST@9%,"1,417.50",,,"18,585.00"
95,95,29-03-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,519,01-10-2024,VIMAL INDUSTRIES,2929AKHPK8857E1ZO,"31,000.00",CGST@9%,"2,790.00",SGST@9%,"2,790.00",,,"36,580.00"
